method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'/',b'',0,0,0,0,0,0,good
GET,b'/feedback.jsp',b'',0,0,0,0,0,0,good
GET,b'/login.jsp',b'',0,0,0,0,0,0,good
GET,b'/status_check.jsp',b'',0,0,0,0,0,0,good
GET,b'/subscribe.jsp',b'',0,0,0,0,0,0,good
GET,b'/swagger/index.html',b'',0,0,0,0,0,0,good
GET,b'/swagger/properties.json',b'',0,0,0,0,0,0,good
GET,b'/swagger/swagger-ui-bundle.js',b'',0,0,0,0,0,0,good
GET,b'/swagger/swagger-ui-standalone-preset.js',b'',0,0,0,0,0,0,good
GET,b'/disclaimer.htm?url=http://www.microsoft.com',b'',0,0,0,0,0,0,good
GET,b'/disclaimer.htm?url=http://www.netscape.com',b'',0,0,0,0,0,0,good
POST,b'/doSubscribe',b'txtEmail=example123%40gmail.com&btnSubmit=Subscribe',0,0,0,0,0,0,good
POST,b'/doSubscribe',b'txtEmail=example222%40gmail.com&btnSubmit=Subscribe',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_cards.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_deposit.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_insurance.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=business_lending.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_about.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_careers.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_community.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_contact.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_executives.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_investor.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_press.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=inside_volunteering.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_cards.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_checking.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_deposit.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_investments.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_loans.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=personal_other.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=pr/20061005.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=pr/20061109.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=privacy.htm',b'',0,0,0,0,0,0,good
GET,b'/index.jsp?content=security.htm',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=deposit',b'',0,0,0,0,0,0,good
GET,b'/search.jsp?query=example',b'',0,0,0,0,0,0,good
POST,b'/sendFeedback',b'cfile=comments.txt&name=&email_addr=&subject=&comments=&submit=+Submit+',0,0,0,0,0,0,good
POST,b'/sendFeedback',b'cfile=comments.txt&name=example123&email_addr=example123%40gmail.com&subject=example&comments=example+example+example&submit=+Submit+',0,0,0,0,0,0,good
POST,b'/sendFeedback',b'cfile=comments.txt&name=example222&email_addr=example222%40gmail.com&subject=example&comments=feedback+example+feedback+example&submit=+Submit+',0,0,0,0,0,0,good
GET,b'/util/serverStatusCheckService.jsp?HostName=AltoroMutual',b'',0,0,0,0,0,0,good
